Years,Ukraine,USA,"Life expectancy at birth, total (years)"
2010,70.2653658536586,78.5414634146342,US have better value
2011,70.8092682926829,78.6414634146341,US have better value
2012,70.9441463414634,78.7414634146342,US have better value
2013,71.159512195122,78.7414634146342,US have better value
2014,71.1865853658537,78.8414634146341,US have better value
2015,71.189512195122,78.690243902439,US have better value
2016,71.4763414634146,78.5390243902439,US have better value
2017,71.7809756097561,78.5390243902439,US have better value
2018,71.5826829268293,78.6390243902439,US have better value
2019,71.8273170731707,78.7878048780488,US have better value
